match,n,i
True,863,10
True,863,10
True,863,10
True,863,10
True,863,10
True,863,10
True,863,10
True,863,10
True,863,10
False,862,10
True,862,10
False,862,10
True,862,10
True,862,10
True,862,10
True,862,10
True,862,10
True,862,10
False,862,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,861,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,860,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,859,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,858,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,857,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,856,10
True,855,10
False,855,10
True,855,10
True,855,10
True,855,10
True,855,10
False,855,10
True,855,10
True,855,10
True,855,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,854,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,853,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,852,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,851,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,850,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,849,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,848,10
True,847,10
True,847,10
True,847,10
True,847,10
True,847,10
True,847,10
True,847,10
True,847,10
False,847,10
True,847,10
True,846,10
False,846,10
True,846,10
True,846,10
True,846,10
True,846,10
True,846,10
True,846,10
True,846,10
True,846,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,845,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,844,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,843,10
True,842,10
True,842,10
True,842,10
True,842,10
True,842,10
True,842,10
True,842,10
False,842,10
True,842,10
True,842,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,841,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,840,10
True,839,10
True,839,10
True,839,10
True,839,10
True,839,10
False,839,10
True,839,10
True,839,10
True,839,10
True,839,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,838,10
True,837,10
True,837,10
True,837,10
True,837,10
True,837,10
True,837,10
True,837,10
True,837,10
False,837,10
True,837,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,836,10
True,835,10
True,835,10
True,835,10
True,835,10
True,835,10
True,835,10
False,835,10
True,835,10
True,835,10
True,835,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,834,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,833,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,832,10
True,831,10
False,831,10
True,831,10
True,831,10
True,831,10
True,831,10
True,831,10
False,831,10
True,831,10
True,831,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,830,10
True,829,10
True,829,10
True,829,10
True,829,10
True,829,10
False,829,10
True,829,10
True,829,10
True,829,10
True,829,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,828,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,827,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,826,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,825,10
True,824,10
False,824,10
True,824,10
True,824,10
True,824,10
True,824,10
True,824,10
True,824,10
True,824,10
True,824,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,823,10
True,822,10
True,822,10
True,822,10
True,822,10
True,822,10
False,822,10
True,822,10
True,822,10
True,822,10
True,822,10
True,821,10
True,821,10
True,821,10
True,821,10
False,821,10
True,821,10
True,821,10
True,821,10
True,821,10
True,821,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,820,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,819,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,818,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
True,817,10
